"IP Address","Tag","Value","Type"
"20.17.21.12","IP Address","20.17.21.12","H"
"20.17.21.22","IP Address","20.17.21.22","H"
"20.17.21.32","IP Address","20.17.21.32","H"
"20.17.21.42","IP Address","20.17.21.42","H"
"20.17.21.12","Serial number","S C-J4PK0995","H"
"20.17.21.12","Firmware version","V04.02.00","H"
"20.17.21.12","Hardware version","5","H"
"20.17.21.12","MAC address","28-63-36-BF-31-79","H"
"20.17.21.12","Subnet mask","255.255.255.128","H"
"20.17.21.12","Default router","20.17.21.1","H"
"20.17.21.12","Module name","6X PLC V3.2.3","H"
"20.17.21.12","Module type","CPU 1214C DCDCRly","H"
"20.17.21.12","Station name","SIMATIC 1200 station_2","H"
"20.17.21.12","TIA portal","V14 SP1","H"
"20.17.21.12","Project Name","SmarTrack rev 6.5.5","H"
"20.17.21.12","Communication_DB.IP_Head[1]","20","T"
"20.17.21.12","Communication_DB.IP_Head[2]","17","T"
"20.17.21.12","Communication_DB.IP_Head[3]","21","T"
"20.17.21.12","Communication_DB.IP_Head[4]","14","T"
"20.17.21.12","SmarTrack_Control.Actual_Module_Length[1]","6.483","T"
"20.17.21.12","SmarTrack_Control.Actual_Module_Length[2]","6.483","T"
"20.17.21.12","SmarTrack_Control.Actual_Module_Length[3]","6.483","T"
"20.17.21.12","SmarTrack_Control.Actual_Module_Length[4]","6.483","T"
"20.17.21.12","SmarTrack_Control.Actual_Module_Length[5]","6.562","T"
"20.17.21.12","SmarTrack_Control.Actual_Module_Length[6]","6.562","T"
"20.17.21.12","SmarTrack_Control.Actual_Row_Spacing[1]","18.0","T"
"20.17.21.12","SmarTrack_Control.Actual_Row_Spacing[2]","18.0","T"
"20.17.21.12","SmarTrack_Control.Actual_Row_Spacing[3]","18.0","T"
"20.17.21.12","SmarTrack_Control.Actual_Row_Spacing[4]","18.0","T"
"20.17.21.12","SmarTrack_Control.Actual_Row_Spacing[5]","18.2","T"
"20.17.21.12","SmarTrack_Control.Actual_Row_Spacing[6]","18.2","T"
"20.17.21.12","SmarTrack_Control.AM_Delta_H[1]","-0.8005214","T"
"20.17.21.12","SmarTrack_Control.AM_Delta_H[2]","-0.5464693","T"
"20.17.21.12","SmarTrack_Control.AM_Delta_H[3]","-0.6102263","T"
"20.17.21.12","SmarTrack_Control.AM_Delta_H[4]","-0.6102263","T"
"20.17.21.12","SmarTrack_Control.AM_Delta_H[5]","0.0","T"
"20.17.21.12","SmarTrack_Control.AM_Delta_H[6]","0.0","T"
"20.17.21.12","SmarTrack_Control.AM_Learn_Complete[1]","true","T"
"20.17.21.12","SmarTrack_Control.AM_Learn_Complete[2]","true","T"
"20.17.21.12","SmarTrack_Control.AM_Learn_Complete[3]","true","T"
"20.17.21.12","Last Backup Timestamp","2025-04-15T16:47:26.170Z","H"
"20.17.21.22","Serial number","S C-HDL06150","H"
"20.17.21.22","Firmware version","V04.02.00","H"
"20.17.21.22","Hardware version","5","H"
"20.17.21.22","MAC address","28-63-36-AB-EB-9E","H"
"20.17.21.22","Subnet mask","255.255.255.128","H"
"20.17.21.22","Default router","20.17.21.1","H"
"20.17.21.22","Module name","6X PLC V3.2.3","H"
"20.17.21.22","Module type","CPU 1214C DCDCRly","H"
"20.17.21.22","Station name","SIMATIC 1200 station_2","H"
"20.17.21.22","TIA portal","V14 SP1","H"
"20.17.21.22","Project Name","SmarTrack rev 6.5.5","H"
"20.17.21.12","SmarTrack_Control.AM_Learn_Complete[4]","true","T"
"20.17.21.12","SmarTrack_Control.AM_Learn_Complete[5]","false","T"
"20.17.21.12","SmarTrack_Control.AM_Learn_Complete[6]","false","T"
"20.17.21.12","SmarTrack_Control.AM_Module_Length[1]","6.483","T"
"20.17.21.12","SmarTrack_Control.AM_Module_Length[2]","6.483","T"
"20.17.21.12","SmarTrack_Control.AM_Module_Length[3]","6.483","T"
"20.17.21.12","SmarTrack_Control.AM_Module_Length[4]","6.483","T"
"20.17.21.12","SmarTrack_Control.AM_Module_Length[5]","6.562","T"
"20.17.21.12","SmarTrack_Control.AM_Module_Length[6]","6.562","T"
"20.17.21.12","SmarTrack_Control.AM_Use_SmarTrack_Backtracking[1]","true","T"
"20.17.21.12","SmarTrack_Control.AM_Use_SmarTrack_Backtracking[2]","true","T"
"20.17.21.12","SmarTrack_Control.AM_Use_SmarTrack_Backtracking[3]","true","T"
"20.17.21.12","SmarTrack_Control.AM_Use_SmarTrack_Backtracking[4]","true","T"
"20.17.21.12","SmarTrack_Control.AM_Use_SmarTrack_Backtracking[5]","true","T"
