IP Address,Tag,Value,Type
172.26.32.1,IP Address,172.26.32.1,H
172.26.32.10,IP Address,172.26.32.10,H
172.26.32.11,IP Address,172.26.32.11,H
172.26.32.12,IP Address,172.26.32.12,H
172.26.32.13,IP Address,172.26.32.13,H
172.26.32.14,IP Address,172.26.32.14,H
172.26.32.15,IP Address,172.26.32.15,H
172.26.32.16,IP Address,172.26.32.16,H
172.26.32.17,IP Address,172.26.32.17,H
172.26.32.18,IP Address,172.26.32.18,H
172.26.32.19,IP Address,172.26.32.19,H
172.26.32.2,IP Address,172.26.32.2,H
172.26.32.20,IP Address,172.26.32.20,H
172.26.32.21,IP Address,172.26.32.21,H
172.26.32.3,IP Address,172.26.32.3,H
172.26.32.31,IP Address,172.26.32.31,H
172.26.32.32,IP Address,172.26.32.32,H
172.26.32.33,IP Address,172.26.32.33,H
172.26.32.34,IP Address,172.26.32.34,H
172.26.32.37,IP Address,172.26.32.37,H
172.26.32.38,IP Address,172.26.32.38,H
172.26.32.39,IP Address,172.26.32.39,H
172.26.32.4,IP Address,172.26.32.4,H
172.26.32.40,IP Address,172.26.32.40,H
172.26.32.41,IP Address,172.26.32.41,H
172.26.32.45,IP Address,172.26.32.45,H
172.26.32.46,IP Address,172.26.32.46,H
172.26.32.47,IP Address,172.26.32.47,H
172.26.32.48,IP Address,172.26.32.48,H
172.26.32.49,IP Address,172.26.32.49,H
172.26.32.5,IP Address,172.26.32.5,H
172.26.32.50,IP Address,172.26.32.50,H
172.26.32.6,IP Address,172.26.32.6,H
172.26.32.7,IP Address,172.26.32.7,H
172.26.32.8,IP Address,172.26.32.8,H
172.26.32.9,IP Address,172.26.32.9,H
172.26.32.1,Serial number,S V-PNCF2633,H
172.26.32.1,Firmware version,V04.06.00,H
172.26.32.1,Hardware version,14,H
172.26.32.1,MAC address,8C-F3-19-D4-99-21,H
172.26.32.1,Subnet mask,255.255.255.0,H
172.26.32.1,Default router,172.26.32.254,H
172.26.32.1,Module name,6X PLC V3.2.4,H
172.26.32.1,Module type,CPU 1214C DC/DC/Rly,H
172.26.32.1,Station name,SIMATIC 1200 station_2,H
172.26.32.1,TIA portal,V14 SP1,H
172.26.32.1,Project Name,11877 Rice Creek 6X DTHZ v3 3_2_4,H
172.26.32.1,Communication_DB.IP_Head[1],172,T
172.26.32.1,Communication_DB.IP_Head[2],26,T
172.26.32.1,Communication_DB.IP_Head[3],32,T
172.26.32.1,Communication_DB.IP_Head[4],25,T
172.26.32.1,SmarTrack_Control.Actual_Module_Length[1],6.5912,T
172.26.32.1,SmarTrack_Control.Actual_Module_Length[2],6.5912,T
172.26.32.1,SmarTrack_Control.Actual_Module_Length[3],6.5912,T
172.26.32.1,SmarTrack_Control.Actual_Module_Length[4],6.5912,T
172.26.32.1,SmarTrack_Control.Actual_Module_Length[5],6.5912,T
172.26.32.1,SmarTrack_Control.Actual_Module_Length[6],6.5912,T
172.26.32.1,SmarTrack_Control.Actual_Row_Spacing[1],18,T
172.26.32.1,SmarTrack_Control.Actual_Row_Spacing[2],18,T
172.26.32.1,SmarTrack_Control.Actual_Row_Spacing[3],18,T
172.26.32.1,SmarTrack_Control.Actual_Row_Spacing[4],18,T
172.26.32.1,SmarTrack_Control.Actual_Row_Spacing[5],18,T
172.26.32.1,SmarTrack_Control.Actual_Row_Spacing[6],18,T
172.26.32.1,SmarTrack_Control.AM_Delta_H[1],0,T
172.26.32.1,SmarTrack_Control.AM_Delta_H[2],0,T
172.26.32.1,SmarTrack_Control.AM_Delta_H[3],0,T
172.26.32.1,SmarTrack_Control.AM_Delta_H[4],0,T
172.26.32.1,SmarTrack_Control.AM_Delta_H[5],0,T
172.26.32.1,SmarTrack_Control.AM_Delta_H[6],0,T
172.26.32.1,SmarTrack_Control.AM_Learn_Complete[1],FALSE,T
172.26.32.1,SmarTrack_Control.AM_Learn_Complete[2],FALSE,T
172.26.32.1,SmarTrack_Control.AM_Learn_Complete[3],FALSE,T
172.26.32.1,Last Backup Timestamp,2025-11-03T21:07:41.718Z,H
172.26.32.1,SmarTrack_Control.AM_Learn_Complete[4],FALSE,T
172.26.32.1,SmarTrack_Control.AM_Learn_Complete[5],FALSE,T
172.26.32.1,SmarTrack_Control.AM_Learn_Complete[6],FALSE,T
172.26.32.1,SmarTrack_Control.AM_Module_Length[1],6.5912,T
172.26.32.1,SmarTrack_Control.AM_Module_Length[2],6.5912,T
172.26.32.1,SmarTrack_Control.AM_Module_Length[3],6.5912,T
172.26.32.1,SmarTrack_Control.AM_Module_Length[4],6.5912,T
172.26.32.1,SmarTrack_Control.AM_Module_Length[5],6.5912,T
172.26.32.1,SmarTrack_Control.AM_Module_Length[6],6.5912,T
172.26.32.1,SmarTrack_Control.AM_Use_SmarTrack_Backtracking[1],FALSE,T
172.26.32.1,SmarTrack_Control.AM_Use_SmarTrack_Backtracking[2],FALSE,T
172.26.32.1,SmarTrack_Control.AM_Use_SmarTrack_Backtracking[3],FALSE,T
172.26.32.1,SmarTrack_Control.AM_Use_SmarTrack_Backtracking[4],FALSE,T
172.26.32.1,SmarTrack_Control.AM_Use_SmarTrack_Backtracking[5],FALSE,T
172.26.32.1,SmarTrack_Control.AM_Use_SmarTrack_Backtracking[6],FALSE,T
172.26.32.1,SmarTrack_Control.PM_Delta_H[1],0,T
172.26.32.1,SmarTrack_Control.PM_Delta_H[2],0,T
172.26.32.1,SmarTrack_Control.PM_Delta_H[3],0,T
172.26.32.1,SmarTrack_Control.PM_Delta_H[4],0,T
172.26.32.1,SmarTrack_Control.PM_Delta_H[5],0,T
172.26.32.1,SmarTrack_Control.PM_Delta_H[6],0,T
172.26.32.1,SmarTrack_Control.PM_Learn_Complete[1],FALSE,T
172.26.32.1,SmarTrack_Control.PM_Learn_Complete[2],FALSE,T
172.26.32.1,SmarTrack_Control.PM_Learn_Complete[3],FALSE,T
172.26.32.1,SmarTrack_Control.PM_Learn_Complete[4],FALSE,T
172.26.32.2,Serial number,S V-POMX9184,H
172.26.32.2,Firmware version,V04.06.00,H
172.26.32.2,Hardware version,14,H
172.26.32.2,MAC address,8C-F3-19-D1-45-35,H
172.26.32.2,Subnet mask,255.255.255.0,H
172.26.32.2,Default router,172.26.32.254,H
172.26.32.2,Module name,6X PLC V3.2.4,H
172.26.32.2,Module type,CPU 1214C DC/DC/Rly,H
172.26.32.2,Station name,SIMATIC 1200 station_2,H
172.26.32.2,TIA portal,V14 SP1,H
172.26.32.2,Project Name,11877 Rice Creek 6X DTHZ v3 3_2_4,H
172.26.32.1,SmarTrack_Control.PM_Learn_Complete[5],FALSE,T
172.26.32.1,SmarTrack_Control.PM_Learn_Complete[6],FALSE,T
172.26.32.1,SmarTrack_Control.PM_Module_Length[1],6.5912,T
172.26.32.1,SmarTrack_Control.PM_Module_Length[2],6.5912,T
172.26.32.1,SmarTrack_Control.PM_Module_Length[3],6.5912,T
172.26.32.1,SmarTrack_Control.PM_Module_Length[4],6.5912,T
172.26.32.1,SmarTrack_Control.PM_Module_Length[5],6.5912,T
172.26.32.1,SmarTrack_Control.PM_Module_Length[6],6.5912,T
172.26.32.1,SmarTrack_Control.PM_Use_SmarTrack_Backtracking[1],FALSE,T
172.26.32.1,SmarTrack_Control.PM_Use_SmarTrack_Backtracking[2],FALSE,T
172.26.32.1,SmarTrack_Control.PM_Use_SmarTrack_Backtracking[3],FALSE,T
172.26.32.1,SmarTrack_Control.PM_Use_SmarTrack_Backtracking[4],FALSE,T
172.26.32.1,SmarTrack_Control.PM_Use_SmarTrack_Backtracking[5],FALSE,T
172.26.32.1,SmarTrack_Control.PM_Use_SmarTrack_Backtracking[6],FALSE,T
172.26.32.1,SmarTrack_Control.Use_SmarTrack_Backtracking[1],FALSE,T
172.26.32.1,SmarTrack_Control.Use_SmarTrack_Backtracking[2],FALSE,T
172.26.32.1,SmarTrack_Control.Use_SmarTrack_Backtracking[3],FALSE,T
172.26.32.1,SmarTrack_Control.Use_SmarTrack_Backtracking[4],FALSE,T
172.26.32.1,SmarTrack_Control.Use_SmarTrack_Backtracking[5],FALSE,T
172.26.32.1,SmarTrack_Control.Use_SmarTrack_Backtracking[6],FALSE,T
172.26.32.1,SmarTrack_Control.Use_SmarTrack_Diffuse_Stow[1],TRUE,T
172.26.32.1,SmarTrack_Control.Use_SmarTrack_Diffuse_Stow[2],TRUE,T
172.26.32.1,SmarTrack_Control.Use_SmarTrack_Diffuse_Stow[3],TRUE,T
172.26.32.1,SmarTrack_Control.Use_SmarTrack_Diffuse_Stow[4],TRUE,T
172.26.32.1,SmarTrack_Control.Use_SmarTrack_Diffuse_Stow[5],TRUE,T
172.26.32.1,SmarTrack_Control.Use_SmarTrack_Diffuse_Stow[6],TRUE,T
172.26.32.1,Snow_Stow_Mode.Snow_Stow,FALSE,T
172.26.32.1,Time_and_IP.New_IP_Addr[1],0,T
172.26.32.1,Time_and_IP.New_IP_Addr[2],0,T
172.26.32.1,Time_and_IP.New_IP_Addr[3],0,T
172.26.32.1,Time_and_IP.New_IP_Addr[4],0,T
172.26.32.1,Time_and_IP.New_Subnet_Mask[1],255,T
172.26.32.1,Time_and_IP.New_Subnet_Mask[2],255,T
172.26.32.1,Time_and_IP.New_Subnet_Mask[3],255,T
172.26.32.1,Time_and_IP.New_Subnet_Mask[4],0,T
172.26.32.1,Time_and_IP.New_Gateway_Addr[1],0,T
172.26.32.1,Time_and_IP.New_Gateway_Addr[2],0,T
172.26.32.1,Time_and_IP.New_Gateway_Addr[3],0,T
172.26.32.1,Time_and_IP.New_Gateway_Addr[4],0,T
172.26.32.1,Time_Date_and_Solar_Variables.Latitude,29.74704,T
172.26.32.1,Time_Date_and_Solar_Variables.Longitude,-81.67151,T
172.26.32.1,Time_Date_and_Solar_Variables.Time_Zone,5,T
172.26.32.1,Tracker_1.Auto_Manual,FALSE,T
172.26.32.1,Tracker_1.Deadband,4,T
172.26.32.1,Tracker_1.Deadband_Backtracking,2,T
172.26.32.1,Tracker_1.Deadband_manual_night_wind,2,T
172.26.32.1,Tracker_1.Drive_Direction_0East_1West,FALSE,T
172.26.32.1,Tracker_1.East_Array_Row_Spacing_Tracker_1,20000,T
172.26.32.1,Tracker_1.encoder_direction,FALSE,T
172.26.32.1,Tracker_1.Manual_Tracker_Position,52,T
172.26.32.2,Communication_DB.IP_Head[1],172,T
172.26.32.2,Communication_DB.IP_Head[2],26,T
172.26.32.2,Communication_DB.IP_Head[3],32,T
172.26.32.2,Communication_DB.IP_Head[4],25,T
172.26.32.2,SmarTrack_Control.Actual_Module_Length[1],6.5912,T
172.26.32.2,SmarTrack_Control.Actual_Module_Length[2],6.5912,T
172.26.32.2,SmarTrack_Control.Actual_Module_Length[3],6.5912,T
172.26.32.2,SmarTrack_Control.Actual_Module_Length[4],6.5912,T
172.26.32.2,SmarTrack_Control.Actual_Module_Length[5],6.5912,T
172.26.32.2,SmarTrack_Control.Actual_Module_Length[6],6.5912,T
172.26.32.2,SmarTrack_Control.Actual_Row_Spacing[1],18,T
