"IP Address","Tag","Value","Type"
"172.26.32.25","IP Address","172.26.32.25","H"
"172.26.32.12","Backup Reason",,"H"
"172.26.32.13","Backup Reason",,"H"
"172.26.32.14","Backup Reason",,"H"
"172.26.32.15","Backup Reason",,"H"
"172.26.32.16","Backup Reason",,"H"
"172.26.32.17","Backup Reason",,"H"
"172.26.32.18","Backup Reason",,"H"
"172.26.32.19","Backup Reason",,"H"
"172.26.32.20","Backup Reason",,"H"
"172.26.32.21","Backup Reason",,"H"
"172.26.32.31","Backup Reason",,"H"
"172.26.32.32","Backup Reason",,"H"
"172.26.32.33","Backup Reason",,"H"
"172.26.32.34","Backup Reason",,"H"
"172.26.32.37","Backup Reason",,"H"
"172.26.32.38","Backup Reason",,"H"
"172.26.32.39","Backup Reason",,"H"
"172.26.32.40","Backup Reason",,"H"
"172.26.32.41","Backup Reason",,"H"
"172.26.32.45","Backup Reason",,"H"
"172.26.32.46","Backup Reason",,"H"
"172.26.32.50","Backup Reason",,"H"
"172.26.32.49","Backup Reason",,"H"
"172.26.32.48","Backup Reason",,"H"
"172.26.32.25","Serial number","S V-PNG73942","H"
"172.26.32.25","Firmware version","V04.06.00","H"
"172.26.32.25","Hardware version","14","H"
"172.26.32.25","MAC address","8C-F3-19-D8-7C-A7","H"
"172.26.32.25","Subnet mask","255.255.255.0","H"
"172.26.32.25","Default router","172.26.32.254","H"
"172.26.32.25","Module name","Site Data PLC V3.2.4","H"
"172.26.32.25","Module type","CPU 1214C DC/DC/Rly","H"
"172.26.32.25","Station name","SIMATIC 1200 station_1","H"
"172.26.32.25","TIA portal","V14 SP1","H"
"172.26.32.25","Project Name","11877 Rice Creek 6X DTHZ v3 3_2_4","H"
"172.26.32.25","Communication_Retentive.number_of_PLCs","37","T"
"172.26.32.25","Time_Date_and_Solar_Variables.Time_Zone","5.0","T"
"172.26.32.25","Time_Date_and_Solar_Variables.Latitude","29.74704","T"
"172.26.32.25","Time_Date_and_Solar_Variables.Longitude","-81.67151","T"
"172.26.32.25","Trackers_Setup.anemometer_installed","false","T"
"172.26.32.25","time_and_IP_settings.clock_sync_time.HOUR","6","T"
"172.26.32.25","time_and_IP_settings.clock_sync_time.MINUTE","0","T"
"172.26.32.25","Communication_Retentive.IP_bytes_1_to_3[1]","172","T"
"172.26.32.25","Communication_Retentive.IP_bytes_1_to_3[2]","26","T"
"172.26.32.25","Communication_Retentive.IP_byte_3[2]","32","T"
"172.26.32.25","Communication_Retentive.IP_byte_4[2]","1","T"
"172.26.32.25","Communication_Retentive.IP_byte_3[3]","32","T"
"172.26.32.25","Communication_Retentive.IP_byte_4[3]","2","T"
"172.26.32.25","Communication_Retentive.IP_byte_3[4]","32","T"
"172.26.32.25","Communication_Retentive.IP_byte_4[4]","3","T"
"172.26.32.25","Communication_Retentive.IP_byte_3[5]","32","T"
"172.26.32.25","Communication_Retentive.IP_byte_4[5]","4","T"
"172.26.32.25","Communication_Retentive.IP_byte_3[6]","32","T"
"172.26.32.25","Communication_Retentive.IP_byte_4[6]","5","T"
"172.26.32.25","Communication_Retentive.IP_byte_3[7]","32","T"
