IP Address,Tag,Value,Type
172.26.32.1,Firmware version,V04.06.00,H
172.26.32.1,Hardware version,14,H
172.26.32.1,IP Address,172.26.32.1,H
172.26.32.10,Firmware version,V04.06.00,H
172.26.32.10,Hardware version,14,H
172.26.32.10,IP Address,172.26.32.10,H
172.26.32.11,Firmware version,V04.06.00,H
172.26.32.11,Hardware version,14,H
172.26.32.11,IP Address,172.26.32.11,H
172.26.32.12,Firmware version,V04.06.00,H
172.26.32.12,Hardware version,14,H
172.26.32.12,IP Address,172.26.32.12,H
172.26.32.12,SmarTrack_Control.AM_Delta_H[1],0.377714,T
172.26.32.12,SmarTrack_Control.AM_Delta_H[2],0.300390,T
172.26.32.12,SmarTrack_Control.AM_Delta_H[3],0.300390,T
172.26.32.12,SmarTrack_Control.AM_Delta_H[4],0.533104,T
172.26.32.12,SmarTrack_Control.AM_Delta_H[5],0.300390,T
172.26.32.12,SmarTrack_Control.AM_Delta_H[6],0.223308,T
172.26.32.12,SmarTrack_Control.AM_Learn_Complete[1],True,T
172.26.32.12,SmarTrack_Control.AM_Learn_Complete[2],True,T
172.26.32.12,SmarTrack_Control.AM_Learn_Complete[3],True,T
172.26.32.12,SmarTrack_Control.AM_Learn_Complete[4],True,T
172.26.32.12,SmarTrack_Control.AM_Learn_Complete[5],True,T
172.26.32.12,SmarTrack_Control.AM_Learn_Complete[6],True,T
172.26.32.12,SmarTrack_Control.PM_Delta_H[1],0.455284,T
172.26.32.12,SmarTrack_Control.PM_Delta_H[2],0.455284,T
172.26.32.12,SmarTrack_Control.PM_Delta_H[3],0.533104,T
172.26.32.12,SmarTrack_Control.PM_Delta_H[4],0.455284,T
172.26.32.12,SmarTrack_Control.PM_Delta_H[5],0.611180,T
172.26.32.12,SmarTrack_Control.PM_Delta_H[6],0.455284,T
172.26.32.12,SmarTrack_Control.PM_Learn_Complete[1],True,T
172.26.32.12,SmarTrack_Control.PM_Learn_Complete[2],True,T
172.26.32.12,SmarTrack_Control.PM_Learn_Complete[3],True,T
172.26.32.12,SmarTrack_Control.PM_Learn_Complete[4],True,T
172.26.32.12,SmarTrack_Control.PM_Learn_Complete[5],True,T
172.26.32.12,SmarTrack_Control.PM_Learn_Complete[6],True,T
172.26.32.13,Firmware version,V04.06.00,H
172.26.32.13,Hardware version,14,H
172.26.32.13,IP Address,172.26.32.13,H
172.26.32.13,SmarTrack_Control.AM_Delta_H[1],0.146462,T
172.26.32.13,SmarTrack_Control.AM_Delta_H[2],0.146462,T
172.26.32.13,SmarTrack_Control.AM_Delta_H[3],0.533104,T
172.26.32.13,SmarTrack_Control.AM_Delta_H[4],0.300390,T
172.26.32.13,SmarTrack_Control.AM_Delta_H[5],0.300390,T
172.26.32.13,SmarTrack_Control.AM_Delta_H[6],0.300390,T
172.26.32.13,SmarTrack_Control.AM_Learn_Complete[1],True,T
172.26.32.13,SmarTrack_Control.AM_Learn_Complete[2],True,T
