"IP Address","Tag","Value","Type"
"20.17.21.14","IP Address","20.17.21.14","H"
"20.17.21.14","Serial number","S C-J4L57928","H"
"20.17.21.14","Firmware version","V04.04.01","H"
"20.17.21.14","Hardware version","5","H"
"20.17.21.14","MAC address","28-63-36-BC-1A-70","H"
"20.17.21.14","Subnet mask","255.255.255.128","H"
"20.17.21.14","Default router","20.17.21.1","H"
"20.17.21.14","Module name","Site Data PLC V3.2.3","H"
"20.17.21.14","Module type","CPU 1214C DC/DC/Rly","H"
"20.17.21.14","Station name","SIMATIC 1200 station_1","H"
"20.17.21.14","TIA portal","V14 SP1","H"
"20.17.21.14","Project Name","6X DTHZ v3 3_0_0","H"
"20.17.21.14","Communication_Retentive.number_of_PLCs","5","T"
"20.17.21.14","Time_Date_and_Solar_Variables.Time_Zone","7.0","T"
"20.17.21.14","Time_Date_and_Solar_Variables.Latitude","35.07999","T"
"20.17.21.14","Time_Date_and_Solar_Variables.Longitude","-106.8632","T"
"20.17.21.14","Trackers_Setup.anemometer_installed","false","T"
"20.17.21.14","time_and_IP_settings.clock_sync_time.HOUR","6","T"
"20.17.21.14","time_and_IP_settings.clock_sync_time.MINUTE","0","T"
"20.17.21.14","Communication_Retentive.IP_bytes_1_to_3[1]","20","T"
"20.17.21.14","Communication_Retentive.IP_bytes_1_to_3[2]","17","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[2]","21","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[2]","12","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[3]","21","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[3]","22","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[4]","21","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[4]","32","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[5]","21","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[5]","42","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[6]","2","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[6]","14","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[7]","2","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[7]","15","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[8]","2","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[8]","16","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[9]","2","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[9]","17","T"
"20.17.21.14","Last Backup Timestamp","2025-08-21T17:50:58.790Z","H"
"20.17.21.14","Backup Reason","","H"
"20.17.21.14","Communication_Retentive.IP_byte_3[10]","2","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[10]","18","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[11]","2","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[11]","19","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[12]","2","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[12]","20","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[13]","2","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[13]","21","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[14]","2","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[14]","22","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[15]","2","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[15]","23","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[16]","2","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[16]","24","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[17]","2","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[17]","25","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[18]","2","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[18]","26","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[19]","2","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[19]","27","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[20]","2","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[20]","28","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[21]","2","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[21]","29","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[22]","2","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[22]","30","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[23]","2","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[23]","31","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[24]","2","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[24]","32","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[25]","2","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[25]","33","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[26]","2","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[26]","34","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[27]","2","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[27]","35","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[28]","0","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[28]","0","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[29]","0","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[29]","0","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[30]","0","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[30]","0","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[31]","0","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[31]","0","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[32]","0","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[32]","0","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[33]","0","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[33]","0","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[34]","0","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[34]","0","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[35]","0","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[35]","0","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[36]","0","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[36]","0","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[37]","0","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[37]","0","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[38]","0","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[38]","0","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[39]","0","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[39]","0","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[40]","0","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[40]","0","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[41]","0","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[41]","0","T"
"20.17.21.14","Communication_Retentive.IP_byte_3[42]","0","T"
"20.17.21.14","Communication_Retentive.IP_byte_4[42]","0","T"
